date,Romer & Romer (2004),Miranda-Agrippino (2014) quarterly
1969-01-01,-0.245265491710811,-0.216744002618662
1969-04-01,0.5885165652665035,0.672700993021436
1969-07-01,0.5191382077067112,0.522472255968041
1969-10-01,0.1471467126206048,0.205189808623157
1970-01-01,-0.659637014895279,-0.497186319940902
1970-04-01,-0.024066024553896975,0.0447148848683713
1970-07-01,-0.9975653810922831,-0.917658373817156
1970-10-01,-0.5840233482699804,-0.635164699316572
1971-01-01,-0.7717954397310545,-0.844209522757705
1971-04-01,0.8060987985682224,0.844479395692193
1971-07-01,-0.117032651366666,-0.058467264969785
1971-10-01,-1.583164967056705,-1.62859355928765
1972-01-01,-0.06818727514762546,-0.065740506848166
1972-04-01,-0.2689900092363223,-0.368880537128837
1972-07-01,0.0,0.0
1972-10-01,0.009269850277565397,-0.0150848725266255
1973-01-01,0.569268848455835,0.523357330378735
1973-04-01,0.6634697654999419,0.55305045523527
1973-07-01,-0.13798820333571904,-0.208717981782403
1973-10-01,-1.1080757443403395,-1.18267171445058
1974-01-01,0.7276556034725581,0.750891347079966
1974-04-01,1.058232802037324,1.04068218369142
1974-07-01,-0.5425163626650357,-0.656655189254095
1974-10-01,-0.17601167362149503,-0.289009787537183
1975-01-01,-0.609453712388529,-0.56032892091162
1975-04-01,-0.331165286175949,-0.216076727725275
1975-07-01,-0.1802545991227642,-0.245646653576504
1975-10-01,-0.20080652149557104,-0.402787991615127
1976-01-01,-0.7987031530752826,-0.86571548894066
1976-04-01,-0.1962843375527532,-0.170580573020767
1976-07-01,-0.1640660660777304,-0.255534007298453
1976-10-01,-0.14205629725602992,-0.218097177562452
1977-01-01,-0.4094448283260747,-0.47743218791287
1977-04-01,-0.24522327763904272,-0.309233785412061
1977-07-01,-0.135940572272844,-0.275099221408664
1977-10-01,-0.1959730324184219,-0.250293365727662
1978-01-01,-0.05723155072679948,-0.166467253967769
1978-04-01,-0.0414806931775229,-0.101916050866261
1978-07-01,-0.3617872717622443,-0.489447878777483
1978-10-01,0.2591383761707317,0.189174400502233
1979-01-01,-0.018902174052318005,-0.0764009452963933
1979-04-01,0.041084131852150804,-0.00511766004701514
1979-07-01,0.858429908159188,0.873852078253889
1979-10-01,0.0449379512918091,0.0965832319157239
1980-01-01,1.6080406901340305,1.81814592272255
1980-04-01,-3.9847326642742233,-4.03121527281282
1980-07-01,0.975843030160046,1.17599731582918
1980-10-01,2.455396602784675,2.47179340817676
1981-01-01,-0.47610582540016994,-0.415651908089989
1981-04-01,1.51490782734884,1.51397744636159
1981-07-01,-0.6515037155994493,-0.696890825341203
1981-10-01,-0.8302483233771999,-0.904944998073814
1982-01-01,0.586387534349164,0.595810392851069
1982-04-01,-0.0556101319321372,-0.0809788141955259
1982-07-01,-0.407508410408994,-0.447840949228725
1982-10-01,0.533004927033659,0.446864705150073
1983-01-01,0.329637562927125,0.398073028250915
1983-04-01,-0.018749407891909,-0.0406116611655249
1983-07-01,-0.24233575597443324,-0.251427192281312
1983-10-01,0.32599048529468,0.279073996681159
1984-01-01,0.156448429254287,0.142962757743342
1984-04-01,0.173243272402905,0.13464837788843
1984-07-01,0.26552891077224,0.27857447082501
1984-10-01,-0.6539676040172867,-0.75785887542411
1985-01-01,0.043523498195572996,0.0911768003865656
1985-04-01,-0.103948440594002,-0.160853856655522
1985-07-01,0.24662485220027303,0.260346787151046
1985-10-01,0.05537063136941889,0.149956654920986
1986-01-01,-0.109958119438727,-0.0716454440450577
1986-04-01,0.28262133820707525,0.286792304279518
1986-07-01,-0.4003900177788946,-0.403644591109901
1986-10-01,-0.060656671139522,-0.0405603799164299
1987-01-01,0.366852987105927,0.444110000240454
1987-04-01,0.238376190681847,0.259542937820683
1987-07-01,-0.20870671127550308,-0.132849799004388
1987-10-01,-0.2654717608127683,-0.190710026355553
1988-01-01,-0.2062511293788926,-0.0869847390137218
1988-04-01,0.495983519926159,0.588325202599691
1988-07-01,-0.2487888530370094,-0.199357450368904
1988-10-01,0.4364734669270405,0.395625178873244
1989-01-01,0.3582699719101515,0.316698808142813
1989-04-01,0.153398808655218,0.14594101749841
1989-07-01,-0.0643340534669722,-0.0610563669904919
1989-10-01,-0.0453839514272861,-0.0104770735698794
1990-01-01,0.2191267524355594,0.250661110602814
1990-04-01,0.0439657400303517,0.0336138925602837
1990-07-01,0.08404150018999419,0.0957535672364622
1990-10-01,-0.2955341467026548,-0.136875663110062
1991-01-01,-0.024184465623004026,0.0502026104744268
1991-04-01,0.262333210919902,0.22885127364015
1991-07-01,0.06374890718835359,0.0646949774071372
1991-10-01,-0.0427379734305135,-0.0110876177180002
1992-01-01,-0.1303449729876929,0.00868797967844034
1992-04-01,0.148171332508462,0.15974837440046
1992-07-01,-0.09037668521939116,-0.0436457071991062
1992-10-01,-0.4412441216586656,-0.296068138757452
1993-01-01,0.0315436150630231,0.106009895667513
1993-04-01,0.334700709383515,0.328664781666519
1993-07-01,0.2124729840124925,0.25575233988799
1993-10-01,-0.25043579109358527,-0.161287276597954
1994-01-01,0.537270952677358,0.603893664129319
1994-04-01,0.287194493017578,0.324722904324437
1994-07-01,0.5281647206157851,0.585958555123871
1994-10-01,0.300805916515614,0.38451133535729
1995-01-01,0.74217244171595,0.774429614207999
1995-04-01,0.209183930757161,0.246216099039767
1995-07-01,-0.07174429504147048,0.0654502118753552
1995-10-01,-0.1184556850753681,-0.0125976890723791
1996-01-01,0.1297788685533087,0.163703760967236
1996-04-01,-0.0269196442973306,0.0237375013763553
1996-07-01,-0.1477421407773654,-0.0465786015081415
1996-10-01,0.018476295071605402,0.108183013010944
1997-01-01,0.0,0.164711568259665
1997-04-01,0.0,0.0126159738853022
1997-07-01,0.0,-0.00752427904873013
1997-10-01,0.0,-0.0642334847551577
1998-01-01,0.0,-0.039982408054865
1998-04-01,0.0,0.0480172969859231
1998-07-01,0.0,-0.344353715330682
1998-10-01,0.0,-0.276982447295785
1999-01-01,0.0,-0.228466602651382
1999-04-01,0.0,0.15417848949321
1999-07-01,0.0,0.0523812423648257
1999-10-01,0.0,0.0472631811156095
2000-01-01,0.0,0.0814001353567282
2000-04-01,0.0,0.430925975607765
2000-07-01,0.0,-0.0147559396491943
2000-10-01,0.0,-0.173996621378463
2001-01-01,0.0,-0.781207418365455
2001-04-01,0.0,-0.515300545657838
2001-07-01,0.0,-0.587527667561127
2001-10-01,0.0,-0.402136783576329
2002-01-01,0.0,-0.487589687694044
2002-04-01,0.0,0.210480153545685
2002-07-01,0.0,0.109350865460206
2002-10-01,0.0,-0.263327834705188
2003-01-01,0.0,0.0643285765794938
2003-04-01,0.0,-0.231977345723214
2003-07-01,0.0,-0.237954521161347
2003-10-01,0.0,-0.406419011685337
2004-01-01,0.0,-0.00573793588978214
2004-04-01,0.0,0.0616473997898379
2004-07-01,0.0,0.438643842056195
2004-10-01,0.0,0.459817480434111
2005-01-01,0.0,0.212179781263834
2005-04-01,0.0,0.552402750849348
2005-07-01,0.0,0.368843404365948
2005-10-01,0.0,0.332796931334163
2006-01-01,0.0,0.235164769823892
2006-04-01,0.0,0.655868721358132
2006-07-01,0.0,0.169857702402423
2006-10-01,0.0,0.0298192769885475
2007-01-01,0.0,0.150654021430204
2007-04-01,0.0,-0.0759845734372495
2007-07-01,0.0,-0.534097817515792
2007-10-01,0.0,-0.374165101963464
